case,activity,resource,timestamp,Att1,Att2,Att3,Att4,Att5
6226,Confirmation of receipt - complete,Value32,2011/3/2 13:55:59,Value1,Value1,Value4,Value28,Value3
6226,T06 Determine necessity of stop advice - complete,Value32,2011/3/2 14:00:22,Value1,Value1,Value4,Value28,Value1
6226,T10 Determine necessity to stop indication - complete,Value32,2011/3/2 14:01:35,Value1,Value1,Value4,Value28,Value1
6226,T02 Check confirmation of receipt - complete,Value32,2011/3/4 13:41:20,Value1,Value1,Value4,Value28,Value3
6226,T04 Determine confirmation of receipt - complete,Value2,2011/3/7 14:31:56,Value1,Value1,Value4,Value28,Value4
6226,T05 Print and send confirmation of receipt - complete,Value12,2011/3/8 10:18:52,Value1,Value1,Value4,Value28,Value5
6804,Confirmation of receipt - complete,Value15,2011/4/21 11:02:53,Value1,Value1,Value4,Value3,Value3
6804,T02 Check confirmation of receipt - complete,Value15,2011/4/21 11:03:08,Value1,Value1,Value4,Value3,Value2
6804,T04 Determine confirmation of receipt - complete,Value15,2011/4/21 11:03:28,Value1,Value1,Value4,Value3,Value4
6804,T05 Print and send confirmation of receipt - complete,Value15,2011/4/21 11:03:39,Value1,Value1,Value4,Value3,Value5
6804,T06 Determine necessity of stop advice - complete,Value15,2011/4/21 11:03:51,Value1,Value1,Value4,Value3,Value1
6804,T10 Determine necessity to stop indication - complete,Value15,2011/4/21 11:04:11,Value1,Value1,Value4,Value3,Value1
8141,Confirmation of receipt - complete,Value6,2011/7/12 14:53:33,Value2,Value1,Value2,Value4,Value3
8141,T06 Determine necessity of stop advice - complete,Value6,2011/7/21 10:28:10,Value2,Value1,Value2,Value4,Value1
8141,T02 Check confirmation of receipt - complete,Value6,2011/11/9 8:53:08,Value2,Value1,Value2,Value4,Value3
8141,T04 Determine confirmation of receipt - complete,Value6,2011/11/9 8:53:24,Value2,Value1,Value2,Value4,Value4
8141,T05 Print and send confirmation of receipt - complete,Value6,2011/11/9 8:57:50,Value2,Value1,Value2,Value4,Value5
8141,T10 Determine necessity to stop indication - complete,Value6,2011/12/6 16:07:31,Value2,Value1,Value2,Value4,Value1
6874,Confirmation of receipt - complete,Value4,2011/5/31 7:49:05,Value1,Value1,Value4,Value11,Value3
6169,Confirmation of receipt - complete,Value32,2011/2/25 14:29:00,Value1,Value1,Value4,Value28,Value3
6169,T06 Determine necessity of stop advice - complete,Value32,2011/2/28 11:56:50,Value1,Value1,Value4,Value28,Value1
6169,T10 Determine necessity to stop indication - complete,Value32,2011/2/28 11:57:19,Value1,Value1,Value4,Value28,Value1
6169,T02 Check confirmation of receipt - complete,Value32,2011/3/4 13:41:43,Value1,Value1,Value4,Value28,Value3
6169,T04 Determine confirmation of receipt - complete,Value2,2011/3/7 16:22:27,Value1,Value1,Value4,Value28,Value4
6169,T05 Print and send confirmation of receipt - complete,Value12,2011/3/8 10:22:36,Value1,Value1,Value4,Value28,Value5
10779,Confirmation of receipt - complete,Value17,2011/12/7 15:52:49,Value1,Value1,Value2,Value16,Value1
10779,T06 Determine necessity of stop advice - complete,Value17,2011/12/7 15:56:57,Value1,Value1,Value2,Value16,Value1
10779,T02 Check confirmation of receipt - complete,Value17,2011/12/7 15:58:30,Value1,Value1,Value2,Value16,Value2
10779,T10 Determine necessity to stop indication - complete,Value17,2011/12/7 15:59:41,Value1,Value1,Value2,Value16,Value1
10779,T04 Determine confirmation of receipt - complete,Value17,2011/12/7 16:00:17,Value1,Value1,Value2,Value16,Value4
10779,T05 Print and send confirmation of receipt - complete,Value17,2011/12/7 16:00:46,Value1,Value1,Value2,Value16,Value5
8342,Confirmation of receipt - complete,Value21,2011/6/30 11:31:45,Value1,Value1,Value2,Value18,Value1
8342,T02 Check confirmation of receipt - complete,Value19,2011/7/7 10:57:28,Value1,Value1,Value2,Value18,Value2
8342,T04 Determine confirmation of receipt - complete,Value19,2011/7/7 10:57:47,Value1,Value1,Value2,Value18,Value4
8342,T05 Print and send confirmation of receipt - complete,Value19,2011/7/7 10:58:04,Value1,Value1,Value2,Value18,Value5
8342,T06 Determine necessity of stop advice - complete,Value19,2011/7/7 10:58:51,Value1,Value1,Value2,Value18,Value1
8342,T10 Determine necessity to stop indication - complete,Value19,2011/7/7 10:59:11,Value1,Value1,Value2,Value18,Value1
10198,Confirmation of receipt - complete,Value5,2011/11/7 15:41:35,Value1,Value1,Value3,Value3,Value3
10198,T06 Determine necessity of stop advice - complete,Value5,2011/11/7 15:42:01,Value1,Value1,Value3,Value3,Value1
10198,T02 Check confirmation of receipt - complete,Value5,2011/11/7 15:42:26,Value1,Value1,Value3,Value3,Value2
10198,T04 Determine confirmation of receipt - complete,Value5,2011/11/7 15:42:53,Value1,Value1,Value3,Value3,Value4
10198,T05 Print and send confirmation of receipt - complete,Value5,2011/11/7 15:43:10,Value1,Value1,Value3,Value3,Value5
10198,T10 Determine necessity to stop indication - complete,Value5,2011/11/7 15:43:33,Value1,Value1,Value3,Value3,Value1
4683,Confirmation of receipt - complete,Value29,2010/12/10 16:52:37,Value1,Value1,Value4,Value24,Value3
4683,T06 Determine necessity of stop advice - complete,Value29,2010/12/10 16:52:53,Value1,Value1,Value4,Value24,Value1
4683,T10 Determine necessity to stop indication - complete,Value29,2010/12/10 16:53:12,Value1,Value1,Value4,Value24,Value1
4683,T02 Check confirmation of receipt - complete,Value31,2010/12/13 10:50:02,Value1,Value1,Value4,Value24,Value3
4683,T04 Determine confirmation of receipt - complete,Value22,2010/12/13 15:43:21,Value1,Value1,Value4,Value24,Value4
4683,T05 Print and send confirmation of receipt - complete,Value29,2010/12/13 16:35:32,Value1,Value1,Value4,Value24,Value5
5311,Confirmation of receipt - complete,Value17,2011/1/17 13:58:21,Value2,Value1,Value4,Value16,Value1
5311,T06 Determine necessity of stop advice - complete,Value17,2011/1/17 13:59:31,Value2,Value1,Value4,Value16,Value1
5311,T10 Determine necessity to stop indication - complete,Value17,2011/1/17 14:00:14,Value2,Value1,Value4,Value16,Value1
5311,T02 Check confirmation of receipt - complete,Value2,2011/1/19 15:06:31,Value2,Value1,Value4,Value16,Value2
5311,T04 Determine confirmation of receipt - complete,Value2,2011/1/19 15:09:37,Value2,Value1,Value4,Value16,Value4
5311,T05 Print and send confirmation of receipt - complete,Value12,2011/1/24 11:29:18,Value2,Value1,Value4,Value16,Value5
5595,Confirmation of receipt - complete,Value17,2011/3/8 9:54:58,Value1,Value1,Value4,Value16,Value3
5595,T06 Determine necessity of stop advice - complete,Value17,2011/3/8 9:56:18,Value1,Value1,Value4,Value16,Value1
5595,T08 Draft and send request for advice - complete,Value17,2011/3/8 9:57:11,Value1,Value1,Value4,Value16,Value1
5595,T07-1 Draft intern advice aspect 1 - complete,Value17,2011/3/8 10:03:23,Value1,Value1,Value4,Value16,Value6
5595,T07-2 Draft intern advice aspect 2 - complete,Value17,2011/3/8 10:03:44,Value1,Value1,Value4,Value16,Value9
5595,T09-1 Process or receive external advice from party 1 - complete,Value17,2011/3/8 10:04:03,Value1,Value1,Value4,Value16,Value1
5595,T06 Determine necessity of stop advice - complete,Value17,2011/3/8 10:04:18,Value1,Value1,Value4,Value16,Value1
5595,T10 Determine necessity to stop indication - complete,Value17,2011/3/8 10:04:37,Value1,Value1,Value4,Value16,Value1
5595,T02 Check confirmation of receipt - complete,Value23,2011/3/24 10:32:54,Value1,Value1,Value4,Value16,Value3
5595,T03 Adjust confirmation of receipt - complete,Value17,2011/4/18 14:29:18,Value1,Value1,Value4,Value16,Value1
5595,T02 Check confirmation of receipt - complete,Value17,2011/4/18 14:29:37,Value1,Value1,Value4,Value16,Value2
5595,T04 Determine confirmation of receipt - complete,Value17,2011/4/18 14:29:50,Value1,Value1,Value4,Value16,Value4
5595,T05 Print and send confirmation of receipt - complete,Value17,2011/4/18 14:30:02,Value1,Value1,Value4,Value16,Value5
4117,Confirmation of receipt - complete,Value30,2010/11/25 15:19:59,Value1,Value1,Value4,Value27,Value3
4117,T06 Determine necessity of stop advice - complete,Value30,2010/11/25 15:24:57,Value1,Value1,Value4,Value27,Value1
4117,T10 Determine necessity to stop indication - complete,Value30,2010/11/25 15:31:09,Value1,Value1,Value4,Value27,Value1
4117,T02 Check confirmation of receipt - complete,Value31,2010/11/26 9:29:44,Value1,Value1,Value4,Value27,Value3
4117,T03 Adjust confirmation of receipt - complete,Value30,2010/11/29 8:04:52,Value1,Value1,Value4,Value27,Value1
4117,T02 Check confirmation of receipt - complete,Value30,2010/11/30 7:53:14,Value1,Value1,Value4,Value27,Value3
4117,T04 Determine confirmation of receipt - complete,Value30,2010/12/9 13:38:52,Value1,Value1,Value4,Value27,Value3
4117,T05 Print and send confirmation of receipt - complete,Value34,2010/12/10 9:11:24,Value1,Value1,Value4,Value27,Value5
5594,Confirmation of receipt - complete,Value10,2011/2/8 15:30:55,Value2,Value1,Value4,Value8,Value3
5594,T02 Check confirmation of receipt - complete,Value2,2011/2/9 7:56:46,Value2,Value1,Value4,Value8,Value2
5594,T04 Determine confirmation of receipt - complete,Value2,2011/2/9 7:57:03,Value2,Value1,Value4,Value8,Value4
5594,T05 Print and send confirmation of receipt - complete,Value12,2011/2/9 12:10:44,Value2,Value1,Value4,Value8,Value5
5594,T06 Determine necessity of stop advice - complete,Value10,2011/2/14 14:32:30,Value2,Value1,Value4,Value8,Value1
5594,T10 Determine necessity to stop indication - complete,Value10,2011/2/14 14:35:51,Value2,Value1,Value4,Value8,Value1
4555,Confirmation of receipt - complete,Value10,2010/12/7 14:57:17,Value1,Value1,Value4,Value8,Value3
