group,instance,resource,activity,timestamp,responsible,department,case,channel
Group 1,task-9679,Resource13,Confirmation of receipt,2011/1/27 10:11:34,Resource13,General,5517,Desk
Group 4,task-9787,Resource10,T02 Check confirmation of receipt,2011/1/27 10:50:46,Resource13,General,5517,Desk
Group 3,task-9814,Resource10,T04 Determine confirmation of receipt,2011/1/27 10:51:00,Resource13,General,5517,Desk
EMPTY,task-9815,Resource13,T05 Print and send confirmation of receipt,2011/2/2 7:28:32,Resource13,General,5517,Desk
Group 1,task-9788,Resource13,T06 Determine necessity of stop advice,2011/2/2 7:28:50,Resource13,General,5517,Desk
Group 1,task-10514,Resource13,T10 Determine necessity to stop indication,2011/2/2 7:29:13,Resource13,General,5517,Desk
Group 1,task-10515,Resource13,T16 Report reasons to hold request,2011/2/2 7:34:01,Resource13,General,5517,Desk
EMPTY,task-10519,Resource13,T17 Check report Y to stop indication,2011/2/2 7:35:14,Resource13,General,5517,Desk
Group 3,task-10521,Resource13,T19 Determine report Y to stop indication,2011/2/2 7:35:56,Resource13,General,5517,Desk
Group 2,task-10522,Resource13,T20 Print report Y to stop indication,2011/2/2 7:36:14,Resource13,General,5517,Desk
EMPTY,task-31397,Resource04,Confirmation of receipt,2011/7/27 8:09:37,Resource04,General,8457,Internet
Group 4,task-33699,Resource04,T02 Check confirmation of receipt,2011/7/27 8:09:55,Resource04,General,8457,Internet
Group 3,task-33701,Resource04,T04 Determine confirmation of receipt,2011/7/27 8:10:12,Resource04,General,8457,Internet
Group 2,task-33702,Resource04,T05 Print and send confirmation of receipt,2011/7/27 8:10:29,Resource04,General,8457,Internet
Group 1,task-33700,Resource04,T06 Determine necessity of stop advice,2011/7/27 8:10:42,Resource04,General,8457,Internet
Group 1,task-33703,Resource04,T10 Determine necessity to stop indication,2011/7/27 8:11:00,Resource04,General,8457,Internet
EMPTY,task-29031,Resource06,Confirmation of receipt,2011/7/12 12:53:33,Resource06,General,8141,Desk
Group 1,task-31799,Resource06,T06 Determine necessity of stop advice,2011/7/21 8:28:10,Resource06,General,8141,Desk
EMPTY,task-31798,Resource06,T02 Check confirmation of receipt,2011/11/9 7:53:08,Resource06,General,8141,Desk
Group 3,task-45877,Resource06,T04 Determine confirmation of receipt,2011/11/9 7:53:24,Resource06,General,8141,Desk
Group 2,task-45878,Resource06,T05 Print and send confirmation of receipt,2011/11/9 7:57:50,Resource06,General,8141,Desk
