group,instance,resource,activity,timestamp,responsible,department,case,channel
EMPTY,task-14616,Resource15,Confirmation of receipt,2011/3/2 12:55:59,Resource15,General,6226,Internet
Group 1,task-14970,Resource15,T06 Determine necessity of stop advice,2011/3/2 13:00:22,Resource15,General,6226,Internet
Group 1,task-14971,Resource15,T10 Determine necessity to stop indication,2011/3/2 13:01:35,Resource15,General,6226,Internet
EMPTY,task-14969,Resource15,T02 Check confirmation of receipt,2011/3/4 12:41:20,Resource15,General,6226,Internet
Group 3,task-15234,Resource10,T04 Determine confirmation of receipt,2011/3/7 13:31:56,Resource15,General,6226,Internet
Group 2,task-15356,admin1,T05 Print and send confirmation of receipt,2011/3/8 9:18:52,Resource15,General,6226,Internet
EMPTY,task-18774,Resource01,Confirmation of receipt,2011/4/21 9:02:53,Resource11,General,6804,Internet
Group 4,task-21749,Resource01,T02 Check confirmation of receipt,2011/4/21 9:03:08,Resource11,General,6804,Internet
Group 3,task-21751,Resource01,T04 Determine confirmation of receipt,2011/4/21 9:03:28,Resource11,General,6804,Internet
Group 2,task-21752,Resource01,T05 Print and send confirmation of receipt,2011/4/21 9:03:39,Resource11,General,6804,Internet
Group 1,task-21750,Resource01,T06 Determine necessity of stop advice,2011/4/21 9:03:51,Resource11,General,6804,Internet
Group 1,task-21753,Resource01,T10 Determine necessity to stop indication,2011/4/21 9:04:11,Resource11,General,6804,Internet
EMPTY,task-29031,Resource06,Confirmation of receipt,2011/7/12 12:53:33,Resource06,General,8141,Desk
Group 1,task-31799,Resource06,T06 Determine necessity of stop advice,2011/7/21 8:28:10,Resource06,General,8141,Desk
EMPTY,task-31798,Resource06,T02 Check confirmation of receipt,2011/11/9 7:53:08,Resource06,General,8141,Desk
Group 3,task-45877,Resource06,T04 Determine confirmation of receipt,2011/11/9 7:53:24,Resource06,General,8141,Desk
Group 2,task-45878,Resource06,T05 Print and send confirmation of receipt,2011/11/9 7:57:50,Resource06,General,8141,Desk
Group 1,task-32960,Resource06,T10 Determine necessity to stop indication,2011/12/6 15:07:31,Resource06,General,8141,Desk
EMPTY,task-19274,admin2,Confirmation of receipt,2011/5/31 5:49:05,Resource01,General,6874,Internet
EMPTY,task-14094,Resource15,Confirmation of receipt,2011/2/25 13:29:00,Resource15,General,6169,Internet
Group 1,task-14256,Resource15,T06 Determine necessity of stop advice,2011/2/28 10:56:50,Resource15,General,6169,Internet
Group 1,task-14435,Resource15,T10 Determine necessity to stop indication,2011/2/28 10:57:19,Resource15,General,6169,Internet
EMPTY,task-14255,Resource15,T02 Check confirmation of receipt,2011/3/4 12:41:43,Resource15,General,6169,Internet
Group 3,task-15235,Resource10,T04 Determine confirmation of receipt,2011/3/7 15:22:27,Resource15,General,6169,Internet
Group 2,task-15395,admin1,T05 Print and send confirmation of receipt,2011/3/8 9:22:36,Resource15,General,6169,Internet
Group 1,task-49365,Resource09,Confirmation of receipt,2011/12/7 14:52:49,Resource09,General,10779,Internet
Group 1,task-49404,Resource09,T06 Determine necessity of stop advice,2011/12/7 14:56:57,Resource09,General,10779,Internet
Group 4,task-49403,Resource09,T02 Check confirmation of receipt,2011/12/7 14:58:30,Resource09,General,10779,Internet
Group 1,task-49405,Resource09,T10 Determine necessity to stop indication,2011/12/7 14:59:41,Resource09,General,10779,Internet
Group 3,task-49406,Resource09,T04 Determine confirmation of receipt,2011/12/7 15:00:17,Resource09,General,10779,Internet
Group 2,task-49408,Resource09,T05 Print and send confirmation of receipt,2011/12/7 15:00:46,Resource09,General,10779,Internet
Group 1,task-30386,Resource27,Confirmation of receipt,2011/6/30 9:31:45,Resource14,General,8342,Internet
